Navigateur,Version du navigateur,Utilisateurs,pourcentage
Chrome,65.0.3325.181,1057,"14,82%"
Chrome,64.0.3282.186,774,"10,86%"
Firefox,59,682,"9,57%"
Safari,11,474,"6,65%"
Chrome,66.0.3359.139,462,"6,48%"
Chrome,66.0.3359.181,370,"5,19%"
Safari,11.0.3,318,"4,46%"
Firefox,58,301,"4,22%"
Safari,"11,1",298,"4,18%"
Internet Explorer,11,258,"3,62%"
Chrome,65.0.3325.109,157,"2,20%"
Chrome,65.0.3325.162,152,"2,13%"
Firefox,52,150,"2,10%"
Firefox,60,148,"2,08%"
Safari,10,123,"1,73%"
Edge,"16,16299",121,"1,70%"
Chrome,66.0.3359.117,96,"1,35%"
Chrome,64.0.3282.167,92,"1,29%"
Safari,10.1.2002,82,"1,15%"
Chrome,64.0.3282.137,79,"1,11%"
Chrome,66.0.3359.158,76,"1,07%"
Chrome,66.0.3359.126,57,"0,80%"
Chrome,63.0.3239.132,56,"0,79%"
Chrome,65.0.3325.146,49,"0,69%"
Safari,11.0.2,48,"0,67%"
Firefox,57,48,"0,67%"
Chrome,49.0.2623.112,48,"0,67%"
Safari (in-app),(not set),36,"0,50%"
Chrome,66.0.3359.170,35,"0,49%"
Safari,9.1.2003,33,"0,46%"
Firefox,48,33,"0,46%"
Firefox,45,33,"0,46%"
Safari,11.0.1,32,"0,45%"
Samsung Internet,"6,4",31,"0,43%"
Chrome,64.0.3282.140,28,"0,39%"
Safari,"604,1",27,"0,38%"
Safari,"534,34",26,"0,36%"
Mozilla Compatible Agent,5,26,"0,36%"
Safari,9,25,"0,35%"
Safari,9.1.2002,24,"0,34%"
Firefox,56,22,"0,31%"
Safari,10.1.2001,21,"0,29%"
Internet Explorer,10,16,"0,22%"
Firefox,52.0.17892018,16,"0,22%"
Chrome,66.0.3359.122,16,"0,22%"
Internet Explorer,8,15,"0,21%"
Edge,"14,14393",15,"0,21%"
Chrome,64.0.3282.119,15,"0,21%"
Chrome,63.0.3239.84,15,"0,21%"
Opera,51.0.2830.55,14,"0,20%"